componente_evento,miembros,nombres,tamano,pares_evaluados,pares_safe,pares_review,pares_conflict,pares_faltantes,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV400096,515;2274,"Military Rifle, Standing, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Standing, 300 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,515,"Military Rifle, Standing, 300 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400097,583;1987,"Handball, Men (Olympic) | Handball Men's Handball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,583,"Handball, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400098,626;2232;3063,"Double Sculls, Women (Olympic) | Rowing Women's Double Sculls | Women's Double Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400099,628;3035,"Lightweight Double Sculls, Women (Olympic) | Lightweight Women's Double Sculls",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,628,"Lightweight Double Sculls, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400100,633;2011;3069,"Quadruple Sculls, Men (Olympic) | Rowing Men's Quadruple Sculls | Men's Quadruple Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400101,634;2277;2820,"Single Sculls, Men (Olympic) | Rowing Men's Single Sculls | Men's Single Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400102,635;2012;3061,"Double Sculls, Men (Olympic) | Rowing Men's Double Sculls | Men's Double Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400103,637;1945;3011,"Lightweight Double Sculls, Men (Olympic) | Rowing Men's Lightweight Double Sculls | Lightweight Men's Double Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400104,641;2184;3078,"Quadruple Sculls, Women (Olympic) | Rowing Women's Quadruple Sculls | Women's Quadruple Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400105,670;2819,"Trap, Men (Olympic) | Trap Men",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,670,"Trap, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400106,675;2313,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic) | Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,675,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400107,678;2079,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,678,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400108,681;2747,"Skeet, Men (Olympic) | Skeet Men",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,681,"Skeet, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400109,687;2840,"Trap, Women (Olympic) | Trap Women",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,687,"Trap, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400110,688;2437,"Running Target, Single and Double Shot, Men (Olympic) | Shooting Men's Running Target, Single And Double Shot",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,688,"Running Target, Single and Double Shot, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400111,689;2419,"Small-Bore Rifle, Prone, 50 and 100 yards, Men (Olympic) | Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,689,"Small-Bore Rifle, Prone, 50 and 100 yards, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400112,690;2421,"Small-Bore Rifle, Disappearing Target, 25 yards, Men (Olympic) | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,690,"Small-Bore Rifle, Disappearing Target, 25 yards, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400113,691;2422,"Small-Bore Rifle, Moving Target, 25 yards, Men (Olympic) | Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,691,"Small-Bore Rifle, Moving Target, 25 yards, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400114,700;2225,"Military Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Military Rifle, Three Positions, 300 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,700,"Military Rifle, Three Positions, 300 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400115,701;2226,"Military Rifle, Any Position, 600 metres, Men (Olympic) | Shooting Men's Military Rifle, Any Position, 600 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,701,"Military Rifle, Any Position, 600 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400116,713;2276,"Free Rifle, 400, 600 and 800 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,713,"Free Rifle, 400, 600 and 800 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400117,714;2463,"Small-Bore Rifle, Standing, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Standing, 50 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,714,"Small-Bore Rifle, Standing, 50 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400118,723;2436,"Military Rifle, 200/500/600/800/900/1,000 yards, Team, Men (Olympic) | Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,723,"Military Rifle, 200/500/600/800/900/1,000 yards, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400119,724;2870,"Skeet, Women (Olympic) | Skeet Women",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,724,"Skeet, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400120,727;2227,"Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,727,"Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400121,728;2610,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,728,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400122,729;2438,"Small-Bore Rifle, Any Position, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Any Position, 50 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,729,"Small-Bore Rifle, Any Position, 50 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400123,730;2439,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,730,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400124,752;2576,"Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,752,"Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400125,779;824,"200 metres Freestyle, Men (Olympic) | 1,200 metres Freestyle, Men (Olympic)",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,779,"200 metres Freestyle, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400126,899;2914,"Individual, Women (Olympic) | Women's Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,899,"Individual, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400127,908;2063,"Volleyball, Women (Olympic) | Volleyball Women's Volleyball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,908,"Volleyball, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400128,909;2036,"Volleyball, Men (Olympic) | Volleyball Men's Volleyball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,909,"Volleyball, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400129,927;2082;2912,"Long Jump, Women (Olympic) | Athletics Women's Long Jump | Women's Long Jump",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400130,1012;2362;3029,"Multihull, Mixed (Olympic) | Sailing Mixed Multihull | Mixed Multihull",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400131,1017;1969;2888,"Javelin Throw, Women (Olympic) | Athletics Women's Javelin Throw | Women's Javelin Throw",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400132,1018;2280;2787,"Heptathlon, Women (Olympic) | Athletics Women's Heptathlon | Women's Heptathlon",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400133,1024;2199;2986,"High Jump, Women (Olympic) | Athletics Women's High Jump | Women's High Jump",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400134,1026;2129;2847,"Discus Throw, Women (Olympic) | Athletics Women's Discus Throw | Women's Discus Throw",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400135,1029;2002;2866,"Marathon, Women (Olympic) | Athletics Women's Marathon | Women's Marathon",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400136,1030;1996;2762,"Shot Put, Women (Olympic) | Athletics Women's Shot Put | Women's Shot Put",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400137,1032;2514;2872,"Hammer Throw, Women (Olympic) | Athletics Women's Hammer Throw | Women's Hammer Throw",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400138,1232;1235,"5/10 kilometres Pursuit, Women (Olympic) | 5/5 kilometres Pursuit, Women (Olympic)",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1232,"5/10 kilometres Pursuit, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400139,1238;1254,"10 kilometres Pursuit, Women (Olympic) | 5/10 kilometres Pursuit, Women (Olympic)",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1238,"10 kilometres Pursuit, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400140,1293;1298,"10/15 kilometres Pursuit, Men (Olympic) | 10/10 kilometres Pursuit, Men (Olympic)",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1293,"10/15 kilometres Pursuit, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400141,1304;1448,"10/15 kilometres Pursuit, Men (Olympic) | 10/10 kilometres Pursuit, Men (Olympic)",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1304,"10/15 kilometres Pursuit, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400142,1335;2159,"2 × 6 kilometres and 2 × 7.5 kilometres Relay, Mixed (Olympic) | Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1335,"2 × 6 kilometres and 2 × 7.5 kilometres Relay, Mixed (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400143,1379;2549;2915,"Omnium, Women (Olympic) | Cycling Women's Omnium | Women's Omnium",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400144,1386;2841,"Trap, Team, Mixed (Olympic) | Trap Mixed Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1386,"Trap, Team, Mixed (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400145,1441;2238,"Curling, Women (Olympic) | Curling Women's Curling",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1441,"Curling, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400146,1443;2205,"Curling, Men (Olympic) | Curling Men's Curling",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1443,"Curling, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400147,1445;2202,"Ice Hockey, Women (Olympic) | Ice Hockey Women's Ice Hockey",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1445,"Ice Hockey, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400148,1466;2289;3087,"Skiff, Women (Olympic) | Sailing Women's Skiff | Women's Skiff",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400149,1467;2453;3060,"Skiff, Men (Olympic) | Sailing Men's Skiff | Men's Skiff",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400150,1470;2474;2905,"Sabre, Individual, Women (Olympic) | Fencing Women's Sabre, Individual | Women's Sabre Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400151,1471;2344;2906,"Sabre, Team, Women (Olympic) | Fencing Women's Sabre, Team | Women's Sabre Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400152,1472;3106,"Relay, Mixed (Olympic) | Mixed Relay",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1472,"Relay, Mixed (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400153,1473;2467;3044,"Team Pursuit, Women (Olympic) | Cycling Women's Team Pursuit | Women's Team Pursuit",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400154,1475;3052,"Doubles, Mixed (Olympic) | Mixed Doubles",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1475,"Doubles, Mixed (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400155,1494;2717,"Team, Mixed (Olympic) | Mixed Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1494,"Team, Mixed (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400156,1600;2957,"Madison, Women (Olympic) | Women's Madison",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1600,"Madison, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400157,1677;2873,"Park, Men (Olympic) | Men's Park",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1677,"Park, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400158,1878;2970,"Park, Women (Olympic) | Women's Park",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1878,"Park, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400159,1881;2992,"Combined, Women (Olympic) | Women's Combined",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1881,"Combined, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400160,1882;2972,"Street, Women (Olympic) | Women's Street",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1882,"Street, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400161,1883;2923,"Park, Women (Olympic) | Women's Park",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1883,"Park, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400162,1885;2989,"Park, Men (Olympic) | Men's Park",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1885,"Park, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400163,1886;2994,"Combined, Men (Olympic) | Men's Combined",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1886,"Combined, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400164,1888;2907,"Street, Men (Olympic) | Men's Street",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1888,"Street, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400165,1894;2853,"Kata, Men (Olympic) | Men's Kata",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1894,"Kata, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400166,1895;2867,"Kata, Women (Olympic) | Women's Kata",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1895,"Kata, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400167,1908;2403,Cross Country Skiing Men's 10/15 kilometres Pursuit | Cross Country Skiing Men's 10/10 kilometres Pursuit,2,1,1,0,0,0,SAFE_EVENT_COMPONENT,1908,Cross Country Skiing Men's 10/15 kilometres Pursuit,"Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400168,2084;2455,"Swimming Men's 200 metres Freestyle | Swimming Men's 1,200 metres Freestyle",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,2084,Swimming Men's 200 metres Freestyle,"Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400169,2191;2659,"Swimming Men's 1,500 metres Freestyle | Swimming Men's 500 metres Freestyle",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,2191,"Swimming Men's 1,500 metres Freestyle","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400170,2301;2611,Sailing Mixed 5.5 metres | Sailing Mixed 6.5 metres,2,1,1,0,0,0,SAFE_EVENT_COMPONENT,2301,Sailing Mixed 5.5 metres,"Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400171,2365;2368,Cross Country Skiing Women's 5/10 kilometres Pursuit | Cross Country Skiing Women's 5/5 kilometres Pursuit,2,1,1,0,0,0,SAFE_EVENT_COMPONENT,2365,Cross Country Skiing Women's 5/10 kilometres Pursuit,"Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
